DN,count,mean_0,stdev_0,min_0,max_0,mean_1,stdev_1,min_1,max_1,mean_2,stdev_2,min_2,max_2,mean_3,stdev_3,min_3,max_3,mean_4,stdev_4,min_4,max_4,mean_5,stdev_5,min_5,max_5,mean_6,stdev_6,min_6,max_6,mean_7,stdev_7,min_7,max_7,mean_8,stdev_8,min_8,max_8,mean_9,stdev_9,min_9,max_9
"2",55.000000000000000,241.654545454545001,23.361267550131402,195.000000000000000,298.000000000000000,585.709090909090946,39.930807157748902,502.000000000000000,672.000000000000000,358.018181818181972,43.013990363640701,282.000000000000000,509.000000000000000,905.854545454545018,30.649402254951902,852.000000000000000,990.000000000000000,2829.927272727270065,103.819618239101004,2573.000000000000000,3029.000000000000000,3247.963636363640035,129.736051649655991,2987.000000000000000,3540.000000000000000,3369.127272727269883,165.951025187983987,2946.000000000000000,3712.000000000000000,3528.345454545450139,144.395703509204992,3143.000000000000000,3790.000000000000000,2071.490909090910009,124.486928173986996,1882.000000000000000,2318.000000000000000,1035.709090909090037,113.826650646087003,856.000000000000000,1216.000000000000000
"28",55.000000000000000,503.363636363635976,37.587115422591701,411.000000000000000,582.000000000000000,747.945454545455050,48.572366088906293,655.000000000000000,895.000000000000000,1137.272727272729981,79.647476662606806,969.000000000000000,1284.000000000000000,1316.436363636359829,56.403888635434107,1163.000000000000000,1401.000000000000000,1651.127272727270110,39.361126971900099,1590.000000000000000,1754.000000000000000,1851.418181818180074,47.875104064904797,1745.000000000000000,1978.000000000000000,1903.763636363639989,85.578416203301501,1749.000000000000000,2122.000000000000000,2083.781818181820199,65.338064145350600,1941.000000000000000,2208.000000000000000,3220.454545454550043,65.117221418395303,3049.000000000000000,3312.000000000000000,2081.745454545449775,70.917588630077901,1913.000000000000000,2217.000000000000000
"30",123.000000000000000,426.430894308942982,33.250929064011103,313.000000000000000,479.000000000000000,633.772357723576988,43.427877465020998,517.000000000000000,707.000000000000000,877.739837398373993,59.891546435198599,592.000000000000000,994.000000000000000,1120.081300813010103,40.687854855229801,1020.000000000000000,1203.000000000000000,1518.170731707320101,59.906307628848197,1409.000000000000000,1715.000000000000000,1708.219512195119933,58.924588731166097,1604.000000000000000,1956.000000000000000,1782.739837398369900,81.386332017837603,1646.000000000000000,2175.000000000000000,1963.943089430890041,57.531787480528898,1877.000000000000000,2211.000000000000000,2829.487804878050156,68.734505360184997,2609.000000000000000,2989.000000000000000,1793.902439024390105,73.766069617332505,1624.000000000000000,1966.000000000000000
"15",213.000000000000000,455.347417840376011,57.308264867072907,336.000000000000000,612.000000000000000,741.267605633802987,74.824314560366204,553.000000000000000,951.000000000000000,1051.154929577460052,168.715903436168986,694.000000000000000,1439.000000000000000,1358.427230046949944,114.958567640237007,1159.000000000000000,1653.000000000000000,2017.220657277000100,103.184361225200007,1770.000000000000000,2297.000000000000000,2285.375586854459925,133.321181791924005,2014.000000000000000,2558.000000000000000,2402.502347417840156,174.958125028055008,2017.000000000000000,2914.000000000000000,2606.633802816899788,149.326466404853988,2329.000000000000000,2958.000000000000000,3109.652582159620124,272.076261256025020,2718.000000000000000,3695.000000000000000,1990.971830985919951,259.877219113343017,1616.000000000000000,2568.000000000000000
"9",353.000000000000000,394.478753541077083,42.979913736599798,233.000000000000000,597.000000000000000,634.705382436260948,54.487732141295901,480.000000000000000,806.000000000000000,938.949008498584021,97.660722456173900,572.000000000000000,1196.000000000000000,1179.512747875349987,60.403524520760101,1065.000000000000000,1401.000000000000000,1731.144475920679952,114.578075203807003,1502.000000000000000,2097.000000000000000,1992.354107648729951,131.952500240529986,1736.000000000000000,2392.000000000000000,2072.450424929179917,155.591059482903006,1799.000000000000000,2611.000000000000000,2288.492917847030185,140.537121352720987,2028.000000000000000,2669.000000000000000,2982.317280453260082,90.641533986864005,2769.000000000000000,3219.000000000000000,1925.504249291780070,87.967682657437607,1678.000000000000000,2087.000000000000000
"50",80.000000000000000,283.899999999999977,21.434976740087802,242.000000000000000,341.000000000000000,447.337499999999977,32.922980220239701,384.000000000000000,512.000000000000000,391.350000000000023,48.320423126657602,300.000000000000000,523.000000000000000,770.500000000000000,47.945380316260803,689.000000000000000,908.000000000000000,1699.825000000000045,74.971686638811406,1581.000000000000000,1861.000000000000000,2021.862499999999955,84.390104367692402,1873.000000000000000,2277.000000000000000,2138.587500000000091,132.438444622111007,1936.000000000000000,2565.000000000000000,2365.337500000000091,93.809522032949701,2205.000000000000000,2641.000000000000000,1915.837500000000091,134.724514393189992,1727.000000000000000,2361.000000000000000,1006.375000000000000,101.113468659242997,866.000000000000000,1358.000000000000000
"51",190.000000000000000,443.510526315788979,63.446660468374702,256.000000000000000,567.000000000000000,689.594736842104908,87.837024251140704,414.000000000000000,880.000000000000000,1027.463157894740107,189.489277971512990,433.000000000000000,1361.000000000000000,1257.221052631580051,123.141393239823998,1001.000000000000000,1551.000000000000000,1795.357894736840080,91.853565977844596,1521.000000000000000,2001.000000000000000,2001.705263157890158,114.478331276890003,1754.000000000000000,2290.000000000000000,2021.421052631580096,185.534182531884994,1636.000000000000000,2556.000000000000000,2201.363157894740198,146.437084782162998,1953.000000000000000,2563.000000000000000,2918.115789473679797,214.425446801785995,2459.000000000000000,3372.000000000000000,1858.510526315790003,232.151308519552998,1385.000000000000000,2376.000000000000000
"53",80.000000000000000,296.562500000000000,55.023319279710499,162.000000000000000,398.000000000000000,518.037500000000023,70.769092114666606,324.000000000000000,655.000000000000000,757.837499999999977,123.242936352390998,441.000000000000000,1003.000000000000000,1030.062500000000000,89.357105183837703,852.000000000000000,1243.000000000000000,1495.862499999999955,71.150000889546206,1396.000000000000000,1680.000000000000000,1711.262500000000045,78.544793919765993,1586.000000000000000,1929.000000000000000,1809.049999999999955,106.973426251806998,1555.000000000000000,2083.000000000000000,1976.325000000000045,103.431843271459996,1826.000000000000000,2211.000000000000000,2060.375000000000000,121.596174885707015,1807.000000000000000,2305.000000000000000,1407.562500000000000,97.837354538223195,1192.000000000000000,1573.000000000000000
"61",35.000000000000000,616.600000000000023,56.425484438484503,500.000000000000000,723.000000000000000,955.685714285713971,101.193399990713999,750.000000000000000,1138.000000000000000,1440.171428571429942,140.190518625922010,1137.000000000000000,1650.000000000000000,1567.657142857139888,114.088702038253004,1338.000000000000000,1728.000000000000000,1867.914285714289917,95.816421111526694,1658.000000000000000,2022.000000000000000,2052.199999999999818,91.615179836483904,1876.000000000000000,2203.000000000000000,2137.142857142860066,87.821390552956800,1988.000000000000000,2322.000000000000000,2297.971428571429897,54.343940467602003,2185.000000000000000,2423.000000000000000,3522.657142857140116,107.809729686731998,3246.000000000000000,3634.000000000000000,2431.057142857140207,105.563179536947004,2175.000000000000000,2555.000000000000000
"31",128.000000000000000,464.828125000000000,61.749061566397202,348.000000000000000,567.000000000000000,695.398437500000000,83.686454547344297,542.000000000000000,817.000000000000000,982.421875000000000,126.977374720636007,764.000000000000000,1153.000000000000000,1184.742187500000000,101.932913409370002,1010.000000000000000,1333.000000000000000,1574.125000000000000,92.472851942917202,1373.000000000000000,1683.000000000000000,1765.148437500000000,88.289171435770996,1560.000000000000000,1907.000000000000000,1819.648437500000000,82.128341070474505,1598.000000000000000,2000.000000000000000,2000.171875000000000,72.341285342193302,1801.000000000000000,2132.000000000000000,2919.265625000000000,124.836048976309996,2700.000000000000000,3124.000000000000000,1913.742187500000000,152.080026907394029,1645.000000000000000,2146.000000000000000
