DN,count,mean_0,stdev_0,min_0,max_0,mean_1,stdev_1,min_1,max_1,mean_2,stdev_2,min_2,max_2,mean_3,stdev_3,min_3,max_3,mean_4,stdev_4,min_4,max_4,mean_5,stdev_5,min_5,max_5,mean_6,stdev_6,min_6,max_6,mean_7,stdev_7,min_7,max_7,mean_8,stdev_8,min_8,max_8,mean_9,stdev_9,min_9,max_9
"2",55.000000000000000,404.018181818181972,19.410278786223898,363.000000000000000,457.000000000000000,711.345454545455027,29.757798966431501,648.000000000000000,784.000000000000000,531.981818181817971,47.458945575639298,463.000000000000000,674.000000000000000,1017.890909090909986,28.936503108032600,983.000000000000000,1112.000000000000000,2713.327272727270611,146.378511697817004,2339.000000000000000,2953.000000000000000,3102.581818181819926,182.481525286004995,2617.000000000000000,3380.000000000000000,3192.436363636360056,232.108831724063009,2597.000000000000000,3684.000000000000000,3309.436363636360056,199.140538838162996,2739.000000000000000,3658.000000000000000,2118.145454545449866,98.794102797053995,1978.000000000000000,2312.000000000000000,1181.200000000000045,123.614454386746985,996.000000000000000,1378.000000000000000
"28",55.000000000000000,572.709090909090946,42.111260360599701,452.000000000000000,658.000000000000000,913.200000000000045,47.238716073748698,822.000000000000000,1002.000000000000000,1175.236363636360011,109.225041837069995,854.000000000000000,1342.000000000000000,1408.472727272730026,56.129431952524001,1323.000000000000000,1502.000000000000000,2148.418181818180074,245.501805900356999,1778.000000000000000,2722.000000000000000,2330.854545454550134,286.109563200676007,1883.000000000000000,2969.000000000000000,2251.309090909090173,339.890770729268013,1818.000000000000000,3151.000000000000000,2418.618181818179892,316.783282089582997,1898.000000000000000,3131.000000000000000,3036.854545454550134,80.446075378296896,2834.000000000000000,3177.000000000000000,1855.963636363640035,99.947386832674681,1634.000000000000000,2047.000000000000000
"30",123.000000000000000,485.365853658536935,27.106429063994199,393.000000000000000,534.000000000000000,890.666666666666970,50.227950331818199,697.000000000000000,984.000000000000000,857.471544715446953,62.762540410198199,671.000000000000000,1010.000000000000000,1388.861788617889943,59.286650862948598,1237.000000000000000,1532.000000000000000,2844.739837398370128,354.074476684381011,2166.000000000000000,3545.000000000000000,3105.162601626020205,388.048192333767020,2366.000000000000000,3887.000000000000000,3137.788617886179964,384.642632779249993,2217.000000000000000,3869.000000000000000,3172.747967479670478,398.978954897064000,2358.000000000000000,3958.000000000000000,2873.154471544719854,59.107159218029402,2722.000000000000000,3009.000000000000000,1635.243902439020076,84.389547704057307,1470.000000000000000,1789.000000000000000
"15",213.000000000000000,449.549295774647987,26.768287030355001,385.000000000000000,515.000000000000000,784.431924882629005,43.801991366745497,652.000000000000000,880.000000000000000,891.225352112675978,65.092067710028303,696.000000000000000,1057.000000000000000,1267.896713615019962,60.986300955569497,1126.000000000000000,1399.000000000000000,2343.798122065729331,157.544427984331008,1875.000000000000000,2772.000000000000000,2585.605633802820194,190.012547664611986,2059.000000000000000,3248.000000000000000,2553.502347417840156,199.186757544915992,1912.000000000000000,3083.000000000000000,2709.962441314549778,196.477466415634012,2148.000000000000000,3416.000000000000000,2854.971830985919951,119.085149316235004,2609.000000000000000,3068.000000000000000,1798.802816901410097,97.142710578009002,1608.000000000000000,2006.000000000000000
"9",353.000000000000000,444.456090651558043,28.669232865262600,309.000000000000000,521.000000000000000,764.045325779036943,37.394293241216303,603.000000000000000,860.000000000000000,798.070821529744990,59.557726710905499,481.000000000000000,939.000000000000000,1141.555240793200028,38.908224358612898,1000.000000000000000,1296.000000000000000,2656.288951841359903,122.566036548024002,2315.000000000000000,3032.000000000000000,3098.161473087819559,176.419388268167012,2583.000000000000000,3502.000000000000000,3086.056657223799903,202.540335957879989,2483.000000000000000,3786.000000000000000,3207.087818696879822,187.378007872185037,2675.000000000000000,3670.000000000000000,2720.524079320110104,57.023471177489597,2548.000000000000000,2913.000000000000000,1638.141643059489979,68.270329095389002,1435.000000000000000,1820.000000000000000
"50",80.000000000000000,276.937500000000000,28.812068388266201,229.000000000000000,389.000000000000000,553.174999999999955,37.109408885727497,504.000000000000000,708.000000000000000,384.787500000000023,58.842354019721803,296.000000000000000,612.000000000000000,918.975000000000023,42.718974232695601,873.000000000000000,1085.000000000000000,2502.612500000000182,85.858213079262001,2335.000000000000000,2733.000000000000000,2927.175000000000182,106.004630302497006,2723.000000000000000,3196.000000000000000,3038.987500000000182,147.690875745526029,2698.000000000000000,3367.000000000000000,3257.375000000000000,115.460813123278001,3041.000000000000000,3487.000000000000000,1889.537499999999909,119.331783382786995,1741.000000000000000,2232.000000000000000,908.737499999999955,107.818382659175995,778.000000000000000,1231.000000000000000
"51",190.000000000000000,433.578947368420984,48.006520489076600,239.000000000000000,504.000000000000000,751.878947368420995,63.916124593196798,491.000000000000000,864.000000000000000,1008.836842105259848,161.310537909861011,458.000000000000000,1280.000000000000000,1314.021052631580005,90.353682350140403,1063.000000000000000,1488.000000000000000,2262.336842105260075,204.859281192001987,1931.000000000000000,2910.000000000000000,2483.910526315789866,255.716355335292008,1998.000000000000000,3245.000000000000000,2411.689473684210043,347.788665676825985,1913.000000000000000,3347.000000000000000,2541.905263157890204,282.541772860769015,2046.000000000000000,3362.000000000000000,2913.784210526319839,173.125518777616008,2518.000000000000000,3197.000000000000000,1702.163157894739925,164.158426867669988,1326.000000000000000,2012.000000000000000
"53",80.000000000000000,457.787500000000023,39.293666752231601,361.000000000000000,538.000000000000000,767.549999999999955,69.755976106221198,626.000000000000000,898.000000000000000,760.587499999999977,72.970376120308401,578.000000000000000,909.000000000000000,1139.787499999999909,47.280122338615698,1050.000000000000000,1250.000000000000000,2428.474999999999909,227.243803441439013,1974.000000000000000,3050.000000000000000,2758.812500000000000,279.512282909836017,2247.000000000000000,3550.000000000000000,2765.062500000000000,283.051694690367015,2231.000000000000000,3465.000000000000000,2983.425000000000182,230.399365714227997,2588.000000000000000,3654.000000000000000,2659.324999999999818,119.271286877516005,2405.000000000000000,2860.000000000000000,1771.924999999999955,129.604732586664994,1497.000000000000000,2007.000000000000000
"61",35.000000000000000,614.228571428571058,54.874769577051403,524.000000000000000,740.000000000000000,1040.314285714290008,80.134728987598706,872.000000000000000,1200.000000000000000,1279.428571428569967,146.516669542348012,1004.000000000000000,1603.000000000000000,1597.828571428570058,75.733855089535396,1398.000000000000000,1718.000000000000000,2554.342857142859884,216.950515211235000,2280.000000000000000,3137.000000000000000,2793.571428571429806,242.041231989911012,2509.000000000000000,3429.000000000000000,2678.371428571429988,230.898893803464006,2385.000000000000000,3418.000000000000000,2936.371428571429988,268.216997938596023,2633.000000000000000,3652.000000000000000,3086.628571428570012,111.746584554801998,2791.000000000000000,3229.000000000000000,1983.799999999999955,118.087156247357996,1716.000000000000000,2155.000000000000000
"31",128.000000000000000,571.617187500000000,36.147580503811398,418.000000000000000,641.000000000000000,894.132812500000000,32.997583088240802,701.000000000000000,949.000000000000000,1159.281250000000000,109.656725470647004,877.000000000000000,1311.000000000000000,1401.460937500000000,46.414751650393598,1243.000000000000000,1500.000000000000000,2037.070312500000000,208.272201644516997,1720.000000000000000,2453.000000000000000,2202.289062500000000,236.318387671950006,1849.000000000000000,2684.000000000000000,2123.609375000000000,219.382714324734962,1811.000000000000000,2761.000000000000000,2278.687500000000000,245.375840598878995,1914.000000000000000,2876.000000000000000,2969.570312499999545,91.545581228267196,2645.000000000000000,3104.000000000000000,1806.804687500000000,108.522145393676993,1540.000000000000000,1962.000000000000000
