DN    ,count               ,mean_0              ,stdev_0            ,min_0               ,max_0               ,mean_1              ,stdev_1            ,min_1               ,max_1               ,mean_2              ,stdev_2            ,min_2               ,max_2               ,mean_3              ,stdev_3            ,min_3               ,max_3               ,mean_4              ,stdev_4            ,min_4               ,max_4               ,mean_5              ,stdev_5            ,min_5               ,max_5               ,mean_6              ,stdev_6            ,min_6               ,max_6               ,mean_7              ,stdev_7            ,min_7               ,max_7               ,mean_8              ,stdev_8            ,min_8               ,max_8               ,mean_9              ,stdev_9            ,min_9               ,max_9
"2"   ,55.000000000000000  ,615.218181818181961 ,36.590168133534902 ,548.000000000000000 ,734.000000000000000 ,924.872727272727047 ,38.812490613324897 ,868.000000000000000 ,1080.000000000000000,1005.090909090910031,103.958373565304996,781.000000000000000 ,1310.000000000000000,1364.272727272729753,55.040205690242402 ,1278.000000000000000,1506.000000000000000,2378.890909090910100,200.185069255580004,2052.000000000000000,2778.000000000000000,2624.436363636360056,229.186222489756005,2297.000000000000000,3125.000000000000000,2676.745454545449775,305.511302947955016,2032.000000000000000,3261.000000000000000,2815.145454545449866,265.682448867748974,2387.000000000000000,3354.000000000000000,2768.509090909089991,154.681377739948999,2501.000000000000000,3102.000000000000000,1782.381818181820108,174.477791318263002,1468.000000000000000,2144.000000000000000
"28"  ,55.000000000000000  ,839.145454545454982 ,60.822881349233093 ,759.000000000000000 ,972.000000000000000 ,1181.345454545449911,85.796964934193397 ,1061.000000000000000,1354.000000000000000,1596.509090909089991,114.680372683331996,1438.000000000000000,1819.000000000000000,1727.836363636359920,84.949170779717903 ,1600.000000000000000,1902.000000000000000,2070.036363636359965,98.806013394066596 ,1902.000000000000000,2311.000000000000000,2204.363636363640126,108.843476409485007,2010.000000000000000,2450.000000000000000,2180.963636363640035,160.868241880712986,1932.000000000000000,2481.000000000000000,2273.199999999999818,135.399053555422000,2045.000000000000000,2576.000000000000000,3649.272727272730208,77.497778832074403 ,3508.000000000000000,3777.000000000000000,2448.036363636359965,131.558318801174011,2257.000000000000000,2674.000000000000000
"30"  ,123.000000000000000 ,826.869918699186996 ,53.067998345085698 ,609.000000000000000 ,899.000000000000000 ,1143.829268292679899,64.516830605878397 ,896.000000000000000 ,1243.000000000000000,1547.593495934959947,111.106199189487995,1023.000000000000000,1687.000000000000000,1682.504065040649948,70.280512186352794 ,1471.000000000000000,1798.000000000000000,2033.081300813010103,56.514700466213398 ,1908.000000000000000,2148.000000000000000,2164.552845528459784,69.797506091481907 ,2026.000000000000000,2337.000000000000000,2151.243902439020076,125.149899724451004,1914.000000000000000,2582.000000000000000,2220.699186991870192,103.206536119057006,1974.000000000000000,2440.000000000000000,3540.235772357720180,76.692175985500995 ,3260.000000000000000,3668.000000000000000,2367.983739837400208,139.749012943513009,2011.000000000000000,2584.000000000000000
"15"  ,213.000000000000000 ,771.633802816901039 ,59.100148318131502 ,601.000000000000000 ,895.000000000000000 ,1081.765258215960102,74.970065186763804 ,847.000000000000000 ,1239.000000000000000,1544.774647887320043,123.874959457727996,1130.000000000000000,1737.000000000000000,1738.239436619719982,83.009683134082593 ,1554.000000000000000,1919.000000000000000,2156.615023474179907,64.763373060792702 ,2014.000000000000000,2331.000000000000000,2317.652582159620124,79.441514356207605 ,2130.000000000000000,2524.000000000000000,2334.530516431920205,130.430944854648004,2094.000000000000000,2896.000000000000000,2469.948356807510208,105.835588762490985,2211.000000000000000,2700.000000000000000,3814.638497652580554,186.569567736215987,3410.000000000000000,4234.000000000000000,2752.469483568079795,231.356470152306997,2332.000000000000000,3315.000000000000000
"9"   ,353.000000000000000 ,799.745042492917833 ,60.664105331220398 ,530.000000000000000 ,945.000000000000000 ,1121.317280453260082,74.292084503369495 ,804.000000000000000 ,1348.000000000000000,1550.297450424930048,139.928225998121007,854.000000000000000 ,1874.000000000000000,1725.402266288949932,88.858302647502001 ,1400.000000000000000,2028.000000000000000,2176.215297450420167,91.116116560913099 ,2005.000000000000000,2536.000000000000000,2355.266288951840124,111.626240307147995,2133.000000000000000,2764.000000000000000,2369.504249291780070,157.643695665347991,2033.000000000000000,3124.000000000000000,2495.917847025500123,129.250248566268993,2258.000000000000000,3015.000000000000000,3694.917847025500123,135.406213533703010,3296.000000000000000,4045.000000000000000,2626.087818696879822,180.913812648110962,2103.000000000000000,3085.000000000000000
"50"  ,80.000000000000000  ,532.674999999999955 ,42.584175761853899 ,472.000000000000000 ,700.000000000000000 ,810.875000000000000 ,46.528166234707300 ,743.000000000000000 ,991.000000000000000 ,757.762500000000045 ,100.804516142300997,583.000000000000000 ,1087.000000000000000,1242.362499999999955,54.211317364365001 ,1179.000000000000000,1411.000000000000000,2422.587500000000091,106.429354206011993,2227.000000000000000,2630.000000000000000,2753.775000000000091,129.587463743576990,2500.000000000000000,2990.000000000000000,2851.349999999999909,175.243201713607021,2428.000000000000000,3249.000000000000000,3061.599999999999909,152.528362168559994,2766.000000000000000,3306.000000000000000,2396.937500000000000,179.156133288639012,2138.000000000000000,2831.000000000000000,1398.262500000000045,186.209066099016979,1146.000000000000000,1880.000000000000000
"51"  ,190.000000000000000 ,672.142105263157987 ,75.243982802117600 ,435.000000000000000 ,808.000000000000000 ,977.526315789473870 ,94.854591263202707 ,693.000000000000000 ,1176.000000000000000,1407.963157894740334,227.121564332151991,720.000000000000000 ,1773.000000000000000,1605.626315789470027,127.448640312761015,1282.000000000000000,1895.000000000000000,2190.494736842109887,122.127513696880996,1995.000000000000000,2635.000000000000000,2377.352631578949968,181.485279675983008,2098.000000000000000,3016.000000000000000,2356.068421052630129,304.467512541586075,1937.000000000000000,3519.000000000000000,2456.284210526319839,218.675917494885994,2077.000000000000000,3167.000000000000000,3468.810526315789957,250.212260990516995,2933.000000000000000,4025.000000000000000,2236.310526315789957,295.914640549913997,1656.000000000000000,3006.000000000000000
"53"  ,80.000000000000000  ,713.462499999999977 ,67.612436828767599 ,571.000000000000000 ,827.000000000000000 ,981.700000000000045 ,77.316446577635503 ,831.000000000000000 ,1107.000000000000000,1218.862499999999955,160.782323462421004,867.000000000000000 ,1510.000000000000000,1442.262500000000045,83.042728630993295 ,1271.000000000000000,1608.000000000000000,2006.025000000000091,101.324766112969002,1813.000000000000000,2236.000000000000000,2207.849999999999909,125.919715229760996,1999.000000000000000,2509.000000000000000,2294.712500000000091,163.874078993056997,1984.000000000000000,2705.000000000000000,2451.037499999999909,161.894671474691989,2181.000000000000000,2794.000000000000000,3308.849999999999909,233.160568349178988,2917.000000000000000,3769.000000000000000,2531.462500000000091,328.153597246893014,2038.000000000000000,3233.000000000000000
"61"  ,35.000000000000000  ,942.171428571429033 ,80.559983393553907 ,784.000000000000000 ,1066.000000000000000,1368.171428571429942,127.536727285604996,1090.000000000000000,1547.000000000000000,1827.228571428569921,205.963315653438002,1433.000000000000000,2153.000000000000000,2013.857142857139934,127.218464914199998,1692.000000000000000,2199.000000000000000,2430.428571428570194,118.505717338940002,2118.000000000000000,2627.000000000000000,2612.371428571429988,118.856583305081003,2301.000000000000000,2810.000000000000000,2633.885714285710037,144.019559829372014,2335.000000000000000,2900.000000000000000,2783.828571428569376,114.799181620951998,2537.000000000000000,2991.000000000000000,4010.800000000000182,132.453721107770008,3735.000000000000000,4240.000000000000000,2952.428571428570194,134.957571919793992,2723.000000000000000,3218.000000000000000
"31"  ,128.000000000000000 ,841.867187500000000 ,53.219996699741301 ,605.000000000000000 ,946.000000000000000 ,1162.039062500000000,60.385559407369399 ,871.000000000000000 ,1280.000000000000000,1572.164062500000000,96.074182078778605 ,1111.000000000000000,1753.000000000000000,1723.601562500000000,81.176713995930896 ,1534.000000000000000,1893.000000000000000,2086.539062500000000,97.573465344178800 ,1931.000000000000000,2278.000000000000000,2226.937500000000000,118.704075247293005,2038.000000000000000,2538.000000000000000,2178.843750000000000,136.438064602372009,1911.000000000000000,2762.000000000000000,2281.156250000000000,141.407850270451007,2034.000000000000000,2628.000000000000000,3602.531250000000000,99.530388466771598 ,3254.000000000000000,3811.000000000000000,2340.914062499999545,97.210221696402797 ,2017.000000000000000,2524.000000000000000
