DN,count,mean_0,stdev_0,min_0,max_0,mean_1,stdev_1,min_1,max_1,mean_2,stdev_2,min_2,max_2,mean_3,stdev_3,min_3,max_3,mean_4,stdev_4,min_4,max_4,mean_5,stdev_5,min_5,max_5,mean_6,stdev_6,min_6,max_6,mean_7,stdev_7,min_7,max_7,mean_8,stdev_8,min_8,max_8,mean_9,stdev_9,min_9,max_9
"2",55.000000000000000,282.781818181817982,24.159723837251502,245.000000000000000,341.000000000000000,619.181818181818016,46.366531235959997,541.000000000000000,718.000000000000000,413.236363636363990,45.362312484477698,335.000000000000000,511.000000000000000,918.345454545455027,34.208629072652499,866.000000000000000,1015.000000000000000,2732.345454545450139,162.071682606895990,2292.000000000000000,3007.000000000000000,3145.363636363640126,205.129802052836993,2513.000000000000000,3454.000000000000000,3241.163636363639853,231.650100417781971,2658.000000000000000,3623.000000000000000,3353.945454545450048,224.816749918175987,2631.000000000000000,3653.000000000000000,2008.145454545450093,108.377327508316000,1855.000000000000000,2202.000000000000000,1032.745454545450002,118.032044955442998,851.000000000000000,1211.000000000000000
"28",55.000000000000000,426.690909090908974,42.522269863489697,304.000000000000000,486.000000000000000,753.963636363636056,24.945840324489399,667.000000000000000,798.000000000000000,917.581818181817994,140.586034145049013,542.000000000000000,1064.000000000000000,1205.072727272729935,32.779202160459398,1131.000000000000000,1249.000000000000000,2133.181818181819835,331.702515701281982,1617.000000000000000,2848.000000000000000,2344.599999999999909,386.166323790188983,1715.000000000000000,3191.000000000000000,2236.472727272730026,468.183244219984999,1716.000000000000000,3395.000000000000000,2451.309090909090173,424.560944136639989,1745.000000000000000,3429.000000000000000,2622.290909090910191,102.365661329998986,2378.000000000000000,2793.000000000000000,1461.709090909090037,111.689661434621996,1233.000000000000000,1645.000000000000000
"30",123.000000000000000,305.178861788618008,28.647671069569402,244.000000000000000,373.000000000000000,749.861788617885964,52.078806174031797,531.000000000000000,850.000000000000000,480.910569105691025,87.472244603090900,339.000000000000000,696.000000000000000,1211.552845528460011,58.969595284910199,1082.000000000000000,1353.000000000000000,3219.512195121949844,507.277147482770999,2250.000000000000000,4232.000000000000000,3549.731707317069777,555.735579197882998,2494.000000000000000,4685.000000000000000,3602.666666666670153,544.071304793273043,2366.000000000000000,4699.000000000000000,3624.146341463409954,559.683849325243955,2484.000000000000000,4747.000000000000000,2446.585365853659823,77.508003481954404,2234.000000000000000,2603.000000000000000,1157.292682926829912,79.275689502025998,1013.000000000000000,1372.000000000000000
"15",213.000000000000000,296.145539906103068,24.572235469267401,234.000000000000000,361.000000000000000,635.272300469483980,39.945730081679002,506.000000000000000,726.000000000000000,559.943661971831034,85.327541063159600,415.000000000000000,835.000000000000000,1017.408450704229836,75.564650090787097,855.000000000000000,1160.000000000000000,2391.690140845069891,248.501485790478029,1659.000000000000000,3027.000000000000000,2677.309859154930109,303.053341942826023,1865.000000000000000,3739.000000000000000,2622.103286384980038,314.574733356809020,1608.000000000000000,3465.000000000000000,2792.159624413150141,306.325441788060004,1940.000000000000000,3896.000000000000000,2261.990610328639832,126.719642660271006,2028.000000000000000,2554.000000000000000,1201.347417840380103,83.594209961310995,973.000000000000000,1379.000000000000000
"9",353.000000000000000,246.747875354108004,18.015031673901898,193.000000000000000,299.000000000000000,551.634560906515958,25.343764830560499,440.000000000000000,634.000000000000000,364.396600566571976,45.104754206706197,255.000000000000000,553.000000000000000,790.864022662889965,43.020128517193498,656.000000000000000,964.000000000000000,2818.577903682719807,155.497516309900988,2407.000000000000000,3263.000000000000000,3393.305949008500193,241.543150656941037,2745.000000000000000,4024.000000000000000,3364.538243626060193,271.601404832768026,2650.000000000000000,4391.000000000000000,3486.371104815859781,247.795624555923013,2821.000000000000000,4181.000000000000000,2058.371104815859781,62.462361058962003,1910.000000000000000,2237.000000000000000,963.968838526912009,53.415573178821603,834.000000000000000,1134.000000000000000
"50",80.000000000000000,183.137499999999989,16.936025380714501,144.000000000000000,222.000000000000000,436.600000000000023,28.829309980019300,386.000000000000000,506.000000000000000,270.587499999999977,21.665871049981600,228.000000000000000,333.000000000000000,775.274999999999977,29.119994001251900,737.000000000000000,890.000000000000000,2363.849999999999909,119.708305814645001,2181.000000000000000,2703.000000000000000,2808.474999999999909,148.085587209697991,2573.000000000000000,3255.000000000000000,2925.099999999999909,180.115616877155986,2644.000000000000000,3436.000000000000000,3153.487500000000182,133.397188757311994,2942.000000000000000,3550.000000000000000,1699.737499999999955,57.613013594527303,1610.000000000000000,1878.000000000000000,743.312500000000000,33.012691748109503,688.000000000000000,863.000000000000000
"51",190.000000000000000,324.452631578947035,45.945048479794302,147.000000000000000,403.000000000000000,641.157894736841968,59.207967394193403,403.000000000000000,737.000000000000000,795.710526315789025,173.600390713287993,306.000000000000000,1109.000000000000000,1148.700000000000045,76.633460717803786,962.000000000000000,1316.000000000000000,2255.710526315790048,294.867265259156966,1851.000000000000000,3221.000000000000000,2496.510526315789775,349.717251466476057,1946.000000000000000,3618.000000000000000,2395.621052631580369,461.072345181263017,1826.000000000000000,3767.000000000000000,2552.484210526320112,375.355503113552004,1945.000000000000000,3704.000000000000000,2549.121052631580369,150.058616691382014,2209.000000000000000,2889.000000000000000,1361.500000000000000,126.143059375343014,1053.000000000000000,1636.000000000000000
"53",80.000000000000000,339.037500000000023,37.278440421417201,258.000000000000000,447.000000000000000,665.137500000000045,65.391855597474603,525.000000000000000,821.000000000000000,544.700000000000045,113.151338111643994,368.000000000000000,955.000000000000000,992.587499999999977,64.893621568326694,894.000000000000000,1180.000000000000000,2599.887499999999818,344.720323026647065,2036.000000000000000,3519.000000000000000,2992.224999999999909,433.615240256011987,2289.000000000000000,4185.000000000000000,2954.562500000000000,421.808458652905017,2115.000000000000000,3996.000000000000000,3211.425000000000182,367.941615312103977,2624.000000000000000,4245.000000000000000,2260.512499999999818,132.702483808181995,1989.000000000000000,2539.000000000000000,1291.987499999999955,129.204919543248991,1040.000000000000000,1601.000000000000000
"61",35.000000000000000,439.028571428571013,59.161536448591107,336.000000000000000,570.000000000000000,843.771428571428942,74.993758843961402,708.000000000000000,1022.000000000000000,959.714285714286007,184.481398939356012,632.000000000000000,1347.000000000000000,1321.885714285710037,83.059784078050399,1189.000000000000000,1464.000000000000000,2513.885714285710037,284.630283559794009,2154.000000000000000,3290.000000000000000,2785.599999999999909,325.534962430623068,2385.000000000000000,3648.000000000000000,2609.114285714289963,290.002005208947025,2270.000000000000000,3570.000000000000000,2916.400000000000091,360.055894353671988,2471.000000000000000,3885.000000000000000,2488.057142857140207,155.988110945362962,2219.000000000000000,2718.000000000000000,1368.657142857139888,173.671925811645991,1059.000000000000000,1638.000000000000000
"31",128.000000000000000,432.250000000000000,35.675704695377902,321.000000000000000,493.000000000000000,750.070312500000000,37.721145011835702,569.000000000000000,838.000000000000000,931.539062500000000,137.282621431650000,582.000000000000000,1110.000000000000000,1219.820312500000000,52.066498000872002,1023.000000000000000,1292.000000000000000,1985.781250000000000,317.178032857824007,1507.000000000000000,2595.000000000000000,2168.328125000000000,356.825727978852058,1643.000000000000000,2899.000000000000000,2083.296875000000000,336.980112485336008,1658.000000000000000,3165.000000000000000,2274.531250000000000,358.360438302217972,1742.000000000000000,3056.000000000000000,2560.664062499999545,110.225058052769015,2243.000000000000000,2718.000000000000000,1467.804687500000000,142.573923833854991,1207.000000000000000,1684.000000000000000
