DN,count,mean_0,stdev_0,min_0,max_0,mean_1,stdev_1,min_1,max_1,mean_2,stdev_2,min_2,max_2,mean_3,stdev_3,min_3,max_3,mean_4,stdev_4,min_4,max_4,mean_5,stdev_5,min_5,max_5,mean_6,stdev_6,min_6,max_6,mean_7,stdev_7,min_7,max_7,mean_8,stdev_8,min_8,max_8,mean_9,stdev_9,min_9,max_9
"2",55.000000000000000,241.654545454545001,23.361267550131402,195.000000000000000,298.000000000000000,585.709090909090946,39.930807157748902,502.000000000000000,672.000000000000000,358.018181818181972,43.013990363640701,282.000000000000000,509.000000000000000,905.854545454545018,30.649402254951902,852.000000000000000,990.000000000000000,2829.927272727270065,103.819618239101004,2573.000000000000000,3029.000000000000000,3247.963636363640035,129.736051649655991,2987.000000000000000,3540.000000000000000,3369.127272727269883,165.951025187983987,2946.000000000000000,3712.000000000000000,3528.345454545450139,144.395703509204992,3143.000000000000000,3790.000000000000000,2071.490909090910009,124.486928173986996,1882.000000000000000,2318.000000000000000,1035.709090909090037,113.826650646087003,856.000000000000000,1216.000000000000000
"28",55.000000000000000,341.363636363635976,29.826264610340800,292.000000000000000,429.000000000000000,707.854545454545018,31.584934396133800,665.000000000000000,817.000000000000000,785.509090909091128,73.063613259210797,641.000000000000000,988.000000000000000,1242.200000000000045,42.926465979409798,1160.000000000000000,1331.000000000000000,2331.181818181819835,181.406040459384002,2046.000000000000000,2909.000000000000000,2583.690909090909827,215.204887106087000,2241.000000000000000,3225.000000000000000,2570.163636363639853,203.148346055415999,2187.000000000000000,3181.000000000000000,2789.145454545449866,253.228225138380992,2352.000000000000000,3529.000000000000000,2820.599999999999909,98.616841774015796,2546.000000000000000,2984.000000000000000,1575.254545454549998,103.730101738762997,1294.000000000000000,1778.000000000000000
"30",123.000000000000000,467.479674796747986,37.197820664502103,367.000000000000000,541.000000000000000,859.032520325202995,41.660795534645501,685.000000000000000,942.000000000000000,683.504065040649948,95.047561345708601,425.000000000000000,850.000000000000000,1410.382113821139910,53.005647754326297,1195.000000000000000,1500.000000000000000,3138.219512195119933,168.138288935979006,2876.000000000000000,3742.000000000000000,3440.463414634150013,211.216899344186004,3128.000000000000000,4248.000000000000000,3449.081300813009875,267.655381362051003,3048.000000000000000,4766.000000000000000,3610.016260162599792,222.846745241180997,3239.000000000000000,4493.000000000000000,2697.487804878050156,151.833297599361003,2320.000000000000000,2910.000000000000000,1389.520325203249968,131.564753713012010,1074.000000000000000,1571.000000000000000
"15",213.000000000000000,295.807511737088987,30.096002679258000,224.000000000000000,419.000000000000000,735.281690140844944,58.295485868132701,570.000000000000000,851.000000000000000,540.122065727700033,98.140514067193493,372.000000000000000,955.000000000000000,1211.366197183099985,91.310517193217805,988.000000000000000,1454.000000000000000,2970.957746478869922,362.246948889571001,2382.000000000000000,3827.000000000000000,3332.544600938969779,402.697243515939022,2630.000000000000000,4294.000000000000000,3370.192488262910047,467.250655470537993,2526.000000000000000,4574.000000000000000,3530.586854460089853,414.900713533406019,2829.000000000000000,4483.000000000000000,2387.004694835679857,139.374089307542988,2176.000000000000000,2878.000000000000000,1241.676056338030094,132.992563416141991,1026.000000000000000,1814.000000000000000
"9",353.000000000000000,231.583569405099013,41.303401545981799,110.000000000000000,388.000000000000000,492.416430594900987,77.613439424294185,304.000000000000000,641.000000000000000,424.305949008498999,70.340990844015295,203.000000000000000,633.000000000000000,791.858356940510134,115.229180206909007,573.000000000000000,1000.000000000000000,2270.909348441929978,281.738490423693975,1712.000000000000000,3021.000000000000000,2702.764872521249799,310.851878843826000,2081.000000000000000,3541.000000000000000,2729.915014164309923,334.530486153326024,1991.000000000000000,3576.000000000000000,2903.600566572240041,338.778079513372973,2210.000000000000000,3718.000000000000000,1969.235127478749973,272.178237288479011,1488.000000000000000,2451.000000000000000,999.147308781870038,168.863819695373991,718.000000000000000,1327.000000000000000
"50",80.000000000000000,288.500000000000000,17.188456532646700,244.000000000000000,336.000000000000000,551.562500000000000,28.756438464534501,495.000000000000000,610.000000000000000,342.687500000000000,25.268479263774399,286.000000000000000,423.000000000000000,919.037500000000023,28.477147733542601,880.000000000000000,1033.000000000000000,2613.824999999999818,141.864061782107001,2435.000000000000000,3034.000000000000000,3108.737500000000182,175.018172202961011,2903.000000000000000,3562.000000000000000,3240.062500000000000,183.229560916547996,2968.000000000000000,3783.000000000000000,3497.324999999999818,146.367300681748986,3320.000000000000000,3938.000000000000000,1923.825000000000045,83.381960074244702,1815.000000000000000,2199.000000000000000,838.725000000000023,50.647197430804397,777.000000000000000,997.000000000000000
"51",190.000000000000000,401.652631578947023,76.106687637099697,167.000000000000000,552.000000000000000,774.231578947368121,100.736594300959993,510.000000000000000,944.000000000000000,692.573684210526039,170.619079247563008,351.000000000000000,1122.000000000000000,1290.068421052630129,131.789035170398989,1026.000000000000000,1552.000000000000000,3099.489473684210225,391.689202181449957,2362.000000000000000,3915.000000000000000,3473.489473684210225,466.954284830339020,2706.000000000000000,4760.000000000000000,3458.784210526319839,609.231826808969004,2304.000000000000000,5724.000000000000000,3594.957894736839989,486.236424645079012,2751.000000000000000,4920.000000000000000,2733.252631578950059,144.278754915690996,2389.000000000000000,3093.000000000000000,1386.157894736840035,132.287590814010997,1045.000000000000000,1654.000000000000000
"53",80.000000000000000,269.162500000000023,43.830064171940798,193.000000000000000,352.000000000000000,605.424999999999955,69.544043962318696,489.000000000000000,766.000000000000000,484.712499999999977,99.351720663178099,272.000000000000000,688.000000000000000,957.399999999999977,79.437994289312797,828.000000000000000,1135.000000000000000,2537.737500000000182,198.948103642727006,2235.000000000000000,3049.000000000000000,2911.949999999999818,248.963873135406999,2596.000000000000000,3598.000000000000000,2970.375000000000000,296.036106889477992,2527.000000000000000,3937.000000000000000,3169.724999999999909,254.877432693055994,2840.000000000000000,3945.000000000000000,2372.362500000000182,123.424988109672995,2081.000000000000000,2636.000000000000000,1403.275000000000091,158.268076936616978,1005.000000000000000,1719.000000000000000
"61",35.000000000000000,671.571428571429010,107.825372359059003,484.000000000000000,897.000000000000000,1093.028571428570103,141.265600016066003,853.000000000000000,1415.000000000000000,1268.971428571429897,268.325031797400015,713.000000000000000,1750.000000000000000,1690.885714285710037,123.526318088511999,1503.000000000000000,1928.000000000000000,2836.171428571430624,250.905710636988005,2587.000000000000000,3574.000000000000000,3116.428571428570194,292.509757073489993,2780.000000000000000,4001.000000000000000,3105.114285714289963,322.339131919140982,2607.000000000000000,4107.000000000000000,3350.828571428569376,317.946303801192983,3017.000000000000000,4259.000000000000000,3093.457142857139843,207.580649508616006,2659.000000000000000,3456.000000000000000,1844.914285714289917,247.322172768347997,1374.000000000000000,2245.000000000000000
"31",128.000000000000000,521.414062500000000,60.266145592911307,389.000000000000000,626.000000000000000,921.578125000000000,37.416070776635600,801.000000000000000,1016.000000000000000,798.906250000000000,156.055332277636012,473.000000000000000,1047.000000000000000,1402.320312500000000,64.781392972767506,1181.000000000000000,1515.000000000000000,3114.687500000000000,272.291580340651024,2751.000000000000000,4008.000000000000000,3448.984375000000000,300.786239643141926,3046.000000000000000,4492.000000000000000,3452.718750000000000,380.041956604172015,3006.000000000000000,4906.000000000000000,3599.875000000000000,327.108496532781999,3088.000000000000000,4682.000000000000000,2739.343750000000000,194.016089823077010,2326.000000000000000,3029.000000000000000,1481.007812500000000,207.879488714611000,1068.000000000000000,1800.000000000000000
